Country,ISO,Sex,Year,Mean_BMI_children,Prevalence_obesity_children,Prevalence_overweight_children,Prevalence_underweight_children,Mean_BMI_adults,Prevalence_obesity_adults,Prevalence_underweight_adults,Prevalence_morbid_obesity_adults,Diabetes_prevalence,Systolic_blood_pressure,Prevalence_raised_blood_pressure,Region,Superregion,Years_of_education,Urbanisation,Western_diet_score,GDP_USD
Afghanistan,AFG,Male,1986,15.47811988,0.001543825,0.008264584,0.665491431,20.13723046,0.0047074,0.257543243,2.58E-05,0.054325912,122.6644719,0.27013906,South Asia,South Asia,0.7385,0.1726,-0.616157792,1290.948608
Afghanistan,AFG,Female,1987,16.63628687,0.001020515,0.012447229,0.491732094,20.48320544,0.017173223,0.26099252,0.000178393,0.063861649,121.0853363,0.25983123,South Asia,South Asia,0.765,0.1752,-0.638071912,1326.947144
Afghanistan,AFG,Male,1987,15.51730526,0.001720709,0.009051855,0.661940185,20.23119765,0.005055633,0.254998407,2.91E-05,0.056199474,122.7931088,0.271577401,South Asia,South Asia,0.765,0.1752,-0.638071912,1326.947144
Afghanistan,AFG,Female,1988,16.68346246,0.001161505,0.013409381,0.488999561,20.61150719,0.018196278,0.257771625,0.0002024,0.065617962,121.2443508,0.261881249,South Asia,South Asia,0.791,0.1778,-0.638394235,1345.946411
Afghanistan,AFG,Male,1988,15.55608972,0.001918594,0.009907794,0.658330766,20.32325802,0.005425863,0.25244601,3.29E-05,0.058111427,122.9160448,0.272995036,South Asia,South Asia,0.791,0.1778,-0.638394235,1345.946411
Afghanistan,AFG,Female,1989,16.73132238,0.0013223,0.014444473,0.486186019,20.73906632,0.019270151,0.254544687,0.000229391,0.067386396,121.4024665,0.263909983,South Asia,South Asia,0.8185,0.1804,-0.637478591,1334.946899
Afghanistan,AFG,Male,1989,15.59458082,0.002139787,0.010839069,0.654625983,20.41366369,0.005820096,0.24988027,3.71E-05,0.060041453,123.0388691,0.274337638,South Asia,South Asia,0.8185,0.1804,-0.637478591,1334.946899
Afghanistan,AFG,Female,1990,16.77967904,0.001504294,0.015553264,0.483342352,20.86628301,0.020399163,0.25129798,0.000259757,0.069083295,121.556002,0.265935061,South Asia,South Asia,0.846,0.183,-0.626426477,1242.950562
Afghanistan,AFG,Male,1990,15.63311384,0.002384785,0.011849243,0.650858297,20.50280452,0.006240354,0.247283929,4.20E-05,0.061930155,123.1668507,0.275730333,South Asia,South Asia,0.846,0.183,-0.626426477,1242.950562
Afghanistan,AFG,Female,1991,16.82879132,0.001710066,0.01674373,0.480387684,20.99352618,0.021590011,0.248007454,0.000294069,0.070699115,121.7088237,0.267940877,South Asia,South Asia,0.8745,0.186,-0.61325679,1165.953613
Afghanistan,AFG,Male,1991,15.67179541,0.002656608,0.012950386,0.646997435,20.59086055,0.006690215,0.244659106,4.76E-05,0.063769195,123.3031035,0.277155847,South Asia,South Asia,0.8745,0.186,-0.61325679,1165.953613
Afghanistan,AFG,Female,1992,16.87797201,0.001943107,0.018027381,0.477342407,21.12122926,0.022846657,0.244682824,0.000332845,0.07221809,121.859743,0.269918242,South Asia,South Asia,0.904,0.189,-0.604738576,1074.957275
Afghanistan,AFG,Male,1992,15.7109432,0.002957568,0.014144112,0.6430271,20.67762822,0.007169901,0.241992526,5.38E-05,0.065539797,123.4463132,0.27859386,South Asia,South Asia,0.904,0.189,-0.604738576,1074.957275
Afghanistan,AFG,Female,1993,16.92728099,0.002207195,0.01940769,0.474176643,21.24927191,0.024172219,0.241319265,0.000376386,0.073641014,122.0074211,0.271889887,South Asia,South Asia,0.9345,0.192,-0.600644711,947.9624023
Afghanistan,AFG,Male,1993,15.74986558,0.00328892,0.015430654,0.638964215,20.76353917,0.007680489,0.23927641,6.09E-05,0.06723742,123.5922301,0.280055484,South Asia,South Asia,0.9345,0.192,-0.600644711,947.9624023
Afghanistan,AFG,Female,1994,16.97716429,0.002505406,0.020886974,0.470901708,21.37718413,0.025565076,0.237911964,0.000425189,0.074996998,122.155857,0.273891854,South Asia,South Asia,0.965,0.195,-0.58742231,846.9664307
Afghanistan,AFG,Male,1994,15.78915167,0.003651769,0.01681626,0.634812724,20.84882813,0.008223772,0.236509506,6.88E-05,0.0688669,123.7456079,0.281611476,South Asia,South Asia,0.965,0.195,-0.58742231,846.9664307
Afghanistan,AFG,Female,1995,17.0277123,0.002842003,0.022475411,0.4675359,21.5063372,0.027033356,0.234448681,0.000479824,0.076552079,122.3011156,0.275903059,South Asia,South Asia,0.9965,0.198,-0.565635105,1001.960266
Afghanistan,AFG,Male,1995,15.82892207,0.004050829,0.018309557,0.63057342,20.93384699,0.008803815,0.233694702,7.77E-05,0.070673438,123.9077976,0.283328256,South Asia,South Asia,0.9965,0.198,-0.565635105,1001.960266
Afghanistan,AFG,Female,1996,17.07924909,0.003221185,0.024185934,0.464061112,21.63630604,0.028580445,0.230929055,0.000540912,0.078162151,122.4439876,0.277934858,South Asia,South Asia,1.0285,0.201,-0.542232599,1013.959839
Afghanistan,AFG,Male,1996,15.86933671,0.00448882,0.019918674,0.626236529,21.01952527,0.009420684,0.230825405,8.78E-05,0.0725492,124.0812524,0.285228018,South Asia,South Asia,1.0285,0.201,-0.542232599,1013.959839
Afghanistan,AFG,Female,1997,17.13185463,0.003647458,0.026019189,0.460470746,21.76780754,0.030206751,0.227355428,0.000609167,0.079880125,122.5864727,0.280022643,South Asia,South Asia,1.0615,0.204,-0.519174318,1040.95874
Afghanistan,AFG,Male,1997,15.91141659,0.004968696,0.021653357,0.621768444,21.1060795,0.010076899,0.227904908,9.92E-05,0.074561318,124.2596688,0.2872715,South Asia,South Asia,1.0615,0.204,-0.519174318,1040.95874
Afghanistan,AFG,Female,1998,17.18564252,0.004127549,0.027994406,0.456748044,21.90064108,0.031916061,0.223721035,0.000685419,0.081623095,122.7330167,0.282174157,South Asia,South Asia,1.095,0.207,-0.495363349,974.9613647
Afghanistan,AFG,Male,1998,15.95497966,0.005494396,0.023516028,0.617197429,21.19377909,0.010772618,0.224938533,0.00011194,0.076624329,124.4435798,0.289438116,South Asia,South Asia,1.095,0.207,-0.495363349,974.9613647
Afghanistan,AFG,Female,1999,17.24015746,0.004665269,0.030111008,0.452893561,22.03426017,0.033705096,0.220052442,0.000770369,0.083476725,122.8833349,0.284338882,South Asia,South Asia,1.129,0.21,-0.47046468,990.9606934
Afghanistan,AFG,Male,1999,15.99967042,0.006072838,0.025519461,0.612500008,21.281575,0.011512076,0.22191249,0.000126235,0.078784155,124.6328129,0.291664489,South Asia,South Asia,1.129,0.21,-0.47046468,990.9606934
Afghanistan,AFG,Female,2000,17.29527497,0.005268156,0.032382626,0.448903176,22.16827048,0.035578827,0.216355244,0.000865025,0.085407081,123.0388681,0.28643651,South Asia,South Asia,1.1635,0.213,-0.476306321,943.9625854
Afghanistan,AFG,Male,2000,16.04567522,0.006708661,0.027674799,0.607670627,21.36950574,0.012296558,0.21885661,0.000142296,0.080977027,124.8152838,0.29375533,South Asia,South Asia,1.1635,0.213,-0.476306321,943.9625854
Afghanistan,AFG,Female,2001,17.35072,0.005941107,0.034818306,0.444779432,22.30232938,0.03754561,0.212609997,0.000970155,0.087346111,123.1968702,0.2883797,South Asia,South Asia,1.1985,0.2162,-0.51313316,851.9661865
Afghanistan,AFG,Male,2001,16.09220522,0.007404844,0.029983542,0.602719093,21.45684626,0.01312875,0.215744435,0.000160358,0.083088385,124.9838892,0.295524281,South Asia,South Asia,1.1985,0.2162,-0.51313316,851.9661865
Afghanistan,AFG,Female,2002,17.40653985,0.006693804,0.037423411,0.440532233,22.43556899,0.039607009,0.208843943,0.001087742,0.089619951,123.3566371,0.290255258,South Asia,South Asia,1.234,0.2194,-0.522217383,1052.958252
Afghanistan,AFG,Male,2002,16.13932035,0.008167491,0.032448255,0.597657065,21.54346323,0.01401133,0.212595113,0.000180688,0.085514877,125.1484043,0.297160964,South Asia,South Asia,1.234,0.2194,-0.522217383,1052.958252
Afghanistan,AFG,Female,2003,17.46224689,0.007534734,0.040208965,0.436188152,22.56762969,0.041766722,0.20505115,0.001218515,0.092028191,123.5181243,0.29203512,South Asia,South Asia,1.2705,0.2226,-0.540756973,1096.755615
Afghanistan,AFG,Male,2003,16.18694884,0.008996367,0.035069652,0.592483049,21.6282274,0.014947131,0.209419124,0.000203751,0.088024251,125.3047922,0.298597162,South Asia,South Asia,1.2705,0.2226,-0.540756973,1096.755615
Afghanistan,AFG,Female,2004,17.5180204,0.008471087,0.043184826,0.431751104,22.69821087,0.044021973,0.201251492,0.001363314,0.094449921,123.6796855,0.293712899,South Asia,South Asia,1.307,0.2258,-0.559383634,1066.685059
Afghanistan,AFG,Male,2004,16.23481355,0.009899885,0.037864602,0.587201049,21.71044689,0.015937333,0.206212128,0.000229804,0.090480538,125.4521413,0.299889539,South Asia,South Asia,1.307,0.2258,-0.559383634,1066.685059
Afghanistan,AFG,Female,2005,17.57330243,0.009505122,0.046353268,0.427223879,22.82747585,0.04637792,0.197439564,0.001523532,0.096939275,123.8374272,0.295294501,South Asia,South Asia,1.3445,0.229,-0.579534404,1145.717407
Afghanistan,AFG,Male,2005,16.2818016,0.010883239,0.040838894,0.581851159,21.79068685,0.016984155,0.202992516,0.000259372,0.092908071,125.5880097,0.300975284,South Asia,South Asia,1.3445,0.229,-0.579534404,1145.717407
Afghanistan,AFG,Female,2006,17.62817193,0.010652494,0.049741179,0.422601949,22.9553998,0.048839077,0.193632461,0.00170109,0.099472608,123.9932905,0.296757213,South Asia,South Asia,1.3825,0.2326,-0.612805394,1173.001343
Afghanistan,AFG,Male,2006,16.32849542,0.011957172,0.044006926,0.576389365,21.86935021,0.018096413,0.199754955,0.000293042,0.095287031,125.712089,0.301812619,South Asia,South Asia,1.3825,0.2326,-0.612805394,1173.001343
Afghanistan,AFG,Female,2007,17.68301109,0.011923303,0.053353308,0.417880227,23.08330994,0.05140554,0.189821049,0.001897876,0.102118013,124.1446212,0.298084103,South Asia,South Asia,1.421,0.2362,-0.64713411,1297.820801
Afghanistan,AFG,Male,2007,16.37512422,0.013125595,0.047382148,0.570801078,21.94726997,0.019275125,0.196504185,0.000331309,0.097726561,125.8249264,0.30238503,South Asia,South Asia,1.421,0.2362,-0.64713411,1297.820801
Afghanistan,AFG,Female,2008,17.73853057,0.013326839,0.057200616,0.413071033,23.21112543,0.054085925,0.186015722,0.002115189,0.104794392,124.2888322,0.299346195,South Asia,South Asia,1.4605,0.2398,-0.676311311,1310.717041
Afghanistan,AFG,Male,2008,16.42215328,0.014397629,0.05097259,0.565088834,22.02480215,0.020525161,0.193233673,0.000375197,0.100123061,125.9285402,0.302806595,South Asia,South Asia,1.4605,0.2398,-0.676311311,1310.717041
Afghanistan,AFG,Female,2009,17.79491208,0.014870147,0.061295014,0.408199338,23.33914778,0.056880265,0.182215857,0.002354955,0.107656021,124.4256917,0.300581856,South Asia,South Asia,1.4995,0.2434,-0.697385915,1547.539063
Afghanistan,AFG,Male,2009,16.46973617,0.015777953,0.054790201,0.559248828,22.1029582,0.021848765,0.189953794,0.000425281,0.102692506,126.0255381,0.30315823,South Asia,South Asia,1.4995,0.2434,-0.697385915,1547.539063
Afghanistan,AFG,Female,2010,17.85341101,0.016567912,0.065651686,0.40325402,23.4669499,0.059796392,0.178439017,0.002619952,0.110515076,124.5550775,0.301757198,South Asia,South Asia,1.54,0.247,-0.718210926,1637.297119
Afghanistan,AFG,Male,2010,16.51871616,0.017279452,0.058840442,0.553263469,22.18156918,0.023247294,0.186675437,0.00048209,0.105222988,126.1190855,0.303429753,South Asia,South Asia,1.54,0.247,-0.718210926,1637.297119
Afghanistan,AFG,Female,2011,17.91478601,0.018432712,0.070288817,0.398216126,23.59478507,0.062840521,0.174672935,0.002912441,0.113348233,124.6777436,0.3028762,South Asia,South Asia,1.581,0.251,-0.73499187,1695.153442
Afghanistan,AFG,Male,2011,16.56954398,0.018907927,0.06314283,0.54715227,22.26185019,0.024727956,0.183384496,0.000546807,0.107696954,126.2081073,0.303657383,South Asia,South Asia,1.581,0.251,-0.73499187,1695.153442
Afghanistan,AFG,Female,2012,17.97857825,0.020482538,0.075222394,0.393123914,23.72296541,0.066012001,0.170933063,0.003235379,0.116397174,124.7996036,0.30396696,South Asia,South Asia,1.6225,0.255,-0.767933822,1893.075684
Afghanistan,AFG,Male,2012,16.62199881,0.020678356,0.067724947,0.540927206,22.3438711,0.026299506,0.180089022,0.000620649,0.110350984,126.2912108,0.303847224,South Asia,South Asia,1.6225,0.255,-0.767933822,1893.075684
Afghanistan,AFG,Female,2013,18.04497322,0.022719068,0.080447394,0.387981276,23.85132667,0.069313315,0.167230793,0.003592063,0.119457729,124.917099,0.305002284,South Asia,South Asia,1.665,0.259,-0.793217572,1926.260986
Afghanistan,AFG,Male,2013,16.67675734,0.022606458,0.072606296,0.534528673,22.42778543,0.027968292,0.176790206,0.000705007,0.113026693,126.3716536,0.304031294,South Asia,South Asia,1.665,0.259,-0.793217572,1926.260986
Afghanistan,AFG,Female,2014,18.11305168,0.025163224,0.085985108,0.382791724,23.97913537,0.072745099,0.163565386,0.003984763,0.122499833,125.0296339,0.305987671,South Asia,South Asia,1.708,0.263,-0.818501323,1884.184937
Afghanistan,AFG,Male,2014,16.73267982,0.024685854,0.07776405,0.528042542,22.51238634,0.029738554,0.17349841,0.000802186,0.11565728,126.4484252,0.304193068,South Asia,South Asia,1.708,0.263,-0.818501323,1884.184937
Afghanistan,AFG,Female,2015,18.1823393,0.027836345,0.091843339,0.37757717,24.10689909,0.07631217,0.159946962,0.004416582,NA,125.1347698,0.306917858,South Asia,South Asia,1.7515,0.267,-0.843785074,1951.917114
Afghanistan,AFG,Male,2015,16.79004815,0.026934025,0.083218217,0.521476968,22.59727899,0.031615078,0.170199141,0.000914226,NA,126.5234273,0.304321157,South Asia,South Asia,1.7515,0.267,-0.843785074,1951.917114
Afghanistan,AFG,Female,2016,18.25179675,0.030748602,0.098032646,0.372334467,24.23413457,0.080022885,0.15637765,0.004891864,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,Male,2016,16.84777297,0.029367979,0.088992039,0.514802768,22.68245614,0.033603394,0.16690243,0.001042763,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,ALB,Female,1975,17.76907585,0.001610205,0.030204916,0.241161702,23.8906363,0.089879633,0.049242315,0.001905336,NA,130.3829261,0.312559422,Central Europe,Central and Eastern Europe,5.0935,0.327,-0.435085015,5932.709473
Albania,ALB,Male,1975,18.81387237,0.002845364,0.03492587,0.22950714,23.8759248,0.04629979,0.017818822,0.000181766,NA,132.0813191,0.346016291,Central Europe,Central and Eastern Europe,5.0935,0.327,-0.435085015,5932.709473
Albania,ALB,Female,1976,17.80411375,0.001706972,0.031438213,0.238320429,23.93877287,0.091661185,0.048187064,0.001981433,NA,130.2969658,0.311378082,Central Europe,Central and Eastern Europe,5.2195,0.3292,-0.449926999,5966.274902
Albania,ALB,Male,1976,18.87843836,0.003008903,0.036499701,0.226600575,23.94172202,0.048041427,0.017198798,0.000192624,NA,132.0032278,0.34479602,Central Europe,Central and Eastern Europe,5.2195,0.3292,-0.449926999,5966.274902
Albania,ALB,Female,1977,17.83903142,0.001821097,0.032773606,0.235561128,23.98740118,0.093512389,0.04715436,0.002066494,NA,130.2068602,0.31019488,Central Europe,Central and Eastern Europe,5.346,0.3314,-0.472499829,5997.742188
Albania,ALB,Male,1977,18.94356435,0.003201251,0.038225925,0.223757663,24.00803306,0.049880402,0.016608253,0.000205276,NA,131.9184061,0.3435049,Central Europe,Central and Eastern Europe,5.346,0.3314,-0.472499829,5997.742188
Albania,ALB,Female,1978,17.87429101,0.001955547,0.034206611,0.232847266,24.03615417,0.095435365,0.046148992,0.002160981,NA,130.1146738,0.309026055,Central Europe,Central and Eastern Europe,5.473,0.3336,-0.479214436,6033.405273
Albania,ALB,Male,1978,19.00857002,0.003426007,0.040109885,0.220974134,24.07459838,0.051804326,0.016041667,0.000220175,NA,131.8314456,0.342228582,Central Europe,Central and Eastern Europe,5.473,0.3336,-0.479214436,6033.405273
Albania,ALB,Female,1979,17.91033632,0.002109647,0.035740822,0.230170728,24.08496893,0.097422908,0.04518327,0.002264832,NA,130.0233426,0.307883191,Central Europe,Central and Eastern Europe,5.6015,0.3358,-0.474253373,6068.019531
Albania,ALB,Male,1979,19.07402537,0.003686215,0.042164922,0.218237,24.14112228,0.053822435,0.015498365,0.000237441,NA,131.7521058,0.3410649,Central Europe,Central and Eastern Europe,5.6015,0.3358,-0.474253373,6068.019531
Albania,ALB,Female,1980,17.94645466,0.0022871,0.037384713,0.227553208,24.13373713,0.099470397,0.04425042,0.002377811,0.056549316,129.9320526,0.306753789,Central Europe,Central and Eastern Europe,5.7295,0.338,-0.465765177,4919.449219
Albania,ALB,Male,1980,19.139444,0.003984681,0.044391817,0.215528898,24.20760428,0.05593268,0.014978656,0.000257055,0.041742591,131.6774352,0.340036463,Central Europe,Central and Eastern Europe,5.7295,0.338,-0.465765177,4919.449219
Albania,ALB,Female,1981,17.98264082,0.002489386,0.039135585,0.224971232,24.18273697,0.101583868,0.043347276,0.002500358,0.056529801,129.8419065,0.305693031,Central Europe,Central and Eastern Europe,5.8585,0.3406,-0.451866299,5083.081055
Albania,ALB,Male,1981,19.20495884,0.004327011,0.046790278,0.212862453,24.27426262,0.05813686,0.014481961,0.000279161,0.042293918,131.6093273,0.339179596,Central Europe,Central and Eastern Europe,5.8585,0.3406,-0.451866299,5083.081055
Albania,ALB,Female,1982,18.01906443,0.002716964,0.040994418,0.222433873,24.23211059,0.10374864,0.042478173,0.00263274,0.056574047,129.752352,0.304651568,Central Europe,Central and Eastern Europe,5.9885,0.3432,-0.448224443,5114.548828
Albania,ALB,Male,1982,19.26967395,0.004713242,0.049368848,0.210233129,24.34075742,0.060431057,0.014007415,0.000304529,0.042897898,131.5433255,0.33842818,Central Europe,Central and Eastern Europe,5.9885,0.3432,-0.448224443,5114.548828
Albania,ALB,Female,1983,18.05580031,0.002972013,0.042965506,0.219923626,24.28129211,0.105974813,0.041633985,0.00277499,0.056673973,129.6610621,0.303603011,Central Europe,Central and Eastern Europe,6.119,0.3458,-0.447505793,5054.760254
Albania,ALB,Male,1983,19.33340414,0.005150522,0.05212553,0.20762152,24.40636409,0.062823218,0.013553531,0.000332875,0.043570657,131.4794241,0.337711712,Central Europe,Central and Eastern Europe,6.119,0.3458,-0.447505793,5054.760254
Albania,ALB,Female,1984,18.09272097,0.003256216,0.045047655,0.217444913,24.33010872,0.108252109,0.040817742,0.002927172,0.056821572,129.5666544,0.302562255,Central Europe,Central and Eastern Europe,6.2525,0.3484,-0.448093406,4873.296387
Albania,ALB,Male,1984,19.39596489,0.005643871,0.055074377,0.205033535,24.47104797,0.065313207,0.013115672,0.000364664,0.044309873,131.4162145,0.337007022,Central Europe,Central and Eastern Europe,6.2525,0.3484,-0.448093406,4873.296387
Albania,ALB,Female,1985,18.13005492,0.003574407,0.047250122,0.214979705,24.37781892,0.110573691,0.040037756,0.003089005,0.057033127,129.4701835,0.301528034,Central Europe,Central and Eastern Europe,6.3895,0.351,-0.43968705,4835.535156
Albania,ALB,Male,1985,19.45702625,0.006192774,0.058206004,0.202469371,24.53421946,0.067897072,0.012694609,0.000400196,0.045109254,131.3570807,0.336370114,Central Europe,Central and Eastern Europe,6.3895,0.351,-0.43968705,4835.535156
Albania,ALB,Female,1986,18.16731853,0.003928958,0.049563628,0.212522694,24.42417626,0.112938381,0.039294198,0.003260697,0.057343498,129.3745315,0.300479128,Central Europe,Central and Eastern Europe,6.531,0.3536,-0.441669991,4972.944336
Albania,ALB,Male,1986,19.5163718,0.006798098,0.061536976,0.199907217,24.59548918,0.070572686,0.012290556,0.000439582,0.045973103,131.299544,0.335710619,Central Europe,Central and Eastern Europe,6.531,0.3536,-0.441669991,4972.944336
Albania,ALB,Female,1987,18.20408728,0.004324783,0.052002325,0.210085615,24.46943304,0.115336936,0.038577055,0.003442152,0.057662291,129.2840324,0.299445553,Central Europe,Central and Eastern Europe,6.6755,0.3562,-0.42372232,4796.725098
Albania,ALB,Male,1987,19.57319219,0.007470919,0.065070084,0.197318565,24.65456347,0.07333675,0.011903249,0.000482881,0.046872695,131.2509698,0.335151667,Central Europe,Central and Eastern Europe,6.6755,0.3562,-0.42372232,4796.725098
Albania,ALB,Female,1988,18.24058773,0.00476023,0.054563587,0.207660166,24.51309162,0.117768129,0.037881858,0.003633951,0.058020936,129.1970977,0.298448192,Central Europe,Central and Eastern Europe,6.8205,0.3588,-0.401240906,4610.01709
Albania,ALB,Male,1988,19.62673395,0.008208463,0.068788634,0.194707827,24.71117563,0.076187552,0.011532955,0.000530694,0.047811396,131.2130014,0.334726851,Central Europe,Central and Eastern Europe,6.8205,0.3588,-0.401240906,4610.01709
Albania,ALB,Female,1989,18.27668947,0.005239507,0.057246261,0.205234054,24.55548142,0.120225904,0.037206934,0.003835038,0.058438483,129.1078011,0.297398135,Central Europe,Central and Eastern Europe,6.9655,0.3614,-0.381977572,4962.455078
Albania,ALB,Male,1989,19.67741428,0.009018598,0.072699448,0.192084775,24.76571186,0.079127961,0.011177191,0.000583242,0.048801863,131.1846906,0.334312359,Central Europe,Central and Eastern Europe,6.9655,0.3614,-0.381977572,4962.455078
Albania,ALB,Female,1990,18.31228628,0.005764149,0.060048207,0.202815858,24.59696835,0.12270479,0.036555489,0.004044959,0.058797599,129.0178035,0.296337433,Central Europe,Central and Eastern Europe,7.111,0.364,-0.355345873,4430.650879
Albania,ALB,Male,1990,19.72439553,0.00990199,0.076809768,0.189433332,24.81864139,0.082155833,0.010833227,0.000641251,0.049752771,131.167723,0.333951019,Central Europe,Central and Eastern Europe,7.111,0.364,-0.355345873,4430.650879
Albania,ALB,Female,1991,18.34783343,0.006350231,0.063042806,0.200330921,24.63996796,0.125295539,0.035897026,0.004271271,0.058934804,128.9320642,0.295258667,Central Europe,Central and Eastern Europe,7.2555,0.369,-0.327157713,3138.528076
